
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-11 09:49:29 /images/events/08.jpg ........................ ~ 0.20ms
  2026-05-11 09:49:29 /images/logo_color.png ....................... ~ 0.38ms
  2026-05-11 09:49:29 /images/pillone.jpeg ......................... ~ 0.04ms
  2026-05-11 09:49:29 /js/compressed.js ............................ ~ 0.23ms
  2026-05-11 09:49:29 /js/main.js .................................. ~ 0.06ms
  2026-05-11 09:49:29 /images/partners/telecel.webp ................ ~ 0.33ms
  2026-05-11 09:49:29 /images/partners/moovAfrica.png .............. ~ 0.46ms
  2026-05-11 09:49:29 /images/partners/malitel.png ................. ~ 0.67ms
  2026-05-11 09:49:29 /images/partners/orange.png .................. ~ 0.82ms
  2026-05-11 09:49:29 /images/slide01.jpg .......................... ~ 1.05ms
  2026-05-11 09:49:29 /images/partners/coris.png ................... ~ 0.96ms
  2026-05-11 09:49:29 /images/partners/ikoula.jpg .................. ~ 0.21ms
  2026-05-11 09:49:29 /images/partners/unify.png ................... ~ 0.26ms
  2026-05-11 09:49:29 /images/partners/itancia.png ................. ~ 0.26ms
  2026-05-11 09:49:29 /images/partners/atel.png .................... ~ 0.42ms
  2026-05-11 09:49:29 /images/partners/tritux.png .................. ~ 0.58ms
  2026-05-11 09:49:29 /images/actualite/Call.jpg ................... ~ 0.57ms
  2026-05-11 09:49:29 /images/actualite/boutique.jpg ............... ~ 0.22ms
  2026-05-11 09:49:29 /images/dev/code.jpg ......................... ~ 0.22ms
  2026-05-11 09:49:29 /images/images/faq.png ....................... ~ 0.46ms
  2026-05-11 09:49:29 /images/images/call.png ...................... ~ 0.65ms
  2026-05-11 09:49:29 /img/preloader-img.png ....................... ~ 0.72ms
  2026-05-11 09:49:29 /images/play_3.png ........................... ~ 0.04ms
  2026-05-11 09:49:29 .............................................. ~ 0.33ms
  2026-05-11 09:49:30 /fonts/fa-solid-900.woff2 .................... ~ 0.05ms
  2026-05-11 09:49:30 /fonts/fa-regular-400.woff2 .................. ~ 0.29ms
  2026-05-11 09:49:30 /fonts/fa-brands-400.woff2 ................... ~ 0.49ms
  2026-05-11 09:49:30 /images/Hosting_Video.webm ................... ~ 0.03ms
  2026-05-11 09:49:30 .............................................. ~ 0.20ms
  2026-05-11 09:49:30 .............................................. ~ 0.91ms
  2026-05-11 09:49:31 .............................................. ~ 0.11ms
  2026-05-11 09:49:31 /css/bootstrap.min.css ....................... ~ 0.11ms
  2026-05-11 09:49:31 /css/animations.css .......................... ~ 0.38ms
  2026-05-11 09:49:31 /css/font-awesome5.css ....................... ~ 0.72ms
  2026-05-11 09:49:31 /css/shop.css ................................ ~ 0.95ms
  2026-05-11 09:49:31 /css/custom.css .............................. ~ 1.20ms
  2026-05-11 09:49:31 /css/main.css ................................ ~ 1.43ms
  2026-05-11 09:49:31 /js/vendor/modernizr-custom.js ............... ~ 1.11ms
  2026-05-11 09:49:31 /images/events/08.jpg ........................ ~ 0.25ms
  2026-05-11 09:49:31 /images/logo_color.png ....................... ~ 0.43ms
  2026-05-11 09:49:31 /images/pillone.jpeg ......................... ~ 0.04ms
  2026-05-11 09:49:31 /js/compressed.js ............................ ~ 0.22ms
  2026-05-11 09:49:31 /js/main.js .................................. ~ 0.02ms
  2026-05-11 09:49:31 /images/partners/telecel.webp ................ ~ 0.07ms
  2026-05-11 09:49:31 /images/partners/moovAfrica.png .............. ~ 0.21ms
  2026-05-11 09:49:31 /images/partners/malitel.png ................. ~ 0.33ms
  2026-05-11 09:49:31 /images/partners/orange.png .................. ~ 0.48ms
  2026-05-11 09:49:31 /images/slide01.jpg .......................... ~ 0.67ms
  2026-05-11 09:49:31 /images/partners/coris.png ................... ~ 0.94ms
  2026-05-11 09:49:31 /images/partners/ikoula.jpg .................. ~ 0.07ms
  2026-05-11 09:49:31 /images/partners/unify.png ................... ~ 0.22ms
  2026-05-11 09:49:31 /images/partners/itancia.png ................. ~ 0.38ms
  2026-05-11 09:49:31 /images/partners/atel.png .................... ~ 0.52ms
  2026-05-11 09:49:31 /images/partners/tritux.png .................. ~ 0.76ms
  2026-05-11 09:49:31 /images/actualite/Call.jpg ................... ~ 0.05ms
  2026-05-11 09:49:31 /images/actualite/boutique.jpg ............... ~ 0.23ms
  2026-05-11 09:49:31 /images/dev/code.jpg ......................... ~ 0.45ms
  2026-05-11 09:49:31 /images/images/faq.png ....................... ~ 0.71ms
  2026-05-11 09:49:31 /images/images/call.png ...................... ~ 0.81ms
  2026-05-11 09:49:31 /img/preloader-img.png ....................... ~ 0.98ms
  2026-05-11 09:49:31 /images/play_3.png ........................... ~ 0.04ms
  2026-05-11 09:49:31 .............................................. ~ 0.24ms
  2026-05-11 09:49:31 /fonts/fa-solid-900.woff2 .................... ~ 0.05ms
  2026-05-11 09:49:31 /fonts/fa-regular-400.woff2 .................. ~ 0.35ms
  2026-05-11 09:49:31 /fonts/fa-brands-400.woff2 ................... ~ 0.81ms
  2026-05-11 09:49:31 /images/Hosting_Video.webm ................... ~ 0.08ms
  2026-05-11 09:49:32 .............................................. ~ 0.07ms
  2026-05-11 09:49:32 .............................................. ~ 0.76ms
  2026-05-11 09:49:33 .............................................. ~ 0.55ms
